age,population
  0,313326
  1,358983
  2,406598
  3,441205
  4,440883
  5,438058
  6,488908
  7,473615
  8,478444
  9,446978
 10,466375
 11,499390
 12,453082
 13,435758
 14,469845
 15,493642
 16,491717
 17,551010
 18,633757
 19,622601
 20,637090
 21,667878
 22,680952
 23,707826
 24,710348
 25,709693
 26,722384
 27,703538
 28,645529
 29,630683
 30,623934
 31,620690
 32,625989
 33,649190
 34,658507
 35,741810
 36,817093
 37,844995
 38,833996
 39,831486
 40,736240
 41,774637
 42,758438
 43,786878
 44,857400
 45,892820
 46,896806
 47,937251
 48,928362
 49,915444
 50,930341
 51,863097
 52,823627
 53,846005
 54,833130
 55,776023
 56,873601
 57,901061
 58,930050
 59,852361
 60,775058
 61,763132
 62,694598
 63,708677
 64,623321
 65,522258
 66,572273
 67,428618
 68,440990
 69,449593
 70,440455
 71,446460
 72,367880
 73,304315
 74,330315
 75,322558
 76,395801
 77,334048
 78,280349
 79,283622
 80,253381
 81,226571
 82,209146
 83,187657
 84,163171
 85,134373
 86,115800
 87,93326
 88,78217
 89,67483
 90,55013
 91,42614
 92,30148
 93,23379
 94,16828
 95,15554
 96,11990
 97,7753
 98,5440
 99,3800
100,18964
